Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Primary Hyperparathyroidism.,""/pubmed/30592590"",""Choy KW."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592590"",""pubmed"",""30592590"",""create date:2018/12/29 | first author:Choy KW"",";;
"Osgood-Schlatter Disease.,""/pubmed/29539285"",""Indiran V, Jagannathan D."",""N Engl J Med. 2018 Mar 15";"378(11):e15. doi: 10.1056/NEJMicm1711831. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539285"",""pubmed"",""29539285"",""create date:2018/03/15 | first author:Indiran V"",";;
"Implementing Machine Learning in Health Care - Addressing Ethical Challenges.,""/pubmed/29539284"",""Char DS, Shah NH, Magnus D."",""N Engl J Med. 2018 Mar 15";"378(11):981-983. doi: 10.1056/NEJMp1714229. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539284 | PMCID:PMC5962261"",""pubmed"",""29539284"",""create date:2018/03/15 | first author:Char DS"",";;
"HIV-Associated Cancers and Related Diseases.,""/pubmed/29539283"",""Yarchoan R, Uldrick TS."",""N Engl J Med. 2018 Mar 15";"378(11):1029-1041. doi: 10.1056/NEJMra1615896. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539283"",""pubmed"",""29539283"",""create date:2018/03/15 | first author:Yarchoan R"",";;
"Financial Incentives and Vulnerable Populations - Will Alternative Payment Models Help or Hurt?,""/pubmed/29539282"",""Joynt Maddox KE."",""N Engl J Med. 2018 Mar 15";"378(11):977-979. doi: 10.1056/NEJMp1715455. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539282"",""pubmed"",""29539282"",""create date:2018/03/15 | first author:Joynt Maddox KE"",";;
"Acute Pyelonephritis in Adults.,""/pubmed/29539281"",""[No authors listed]"",""N Engl J Med. 2018 Mar 15";"378(11):1069. doi: 10.1056/NEJMx180009. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539281"",""pubmed"",""29539281"",""create date:2018/03/15"",";;
"Cellular Reprogramming in the Retina - Seeing the Light.,""/pubmed/29539280"",""Lu Y, Zhang K."",""N Engl J Med. 2018 Mar 15";"378(11):1059-1060. doi: 10.1056/NEJMcibr1713887. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539280"",""pubmed"",""29539280"",""create date:2018/03/15 | first author:Lu Y"",";;
"Variant Intestinal-Cell Kinase in Juvenile Myoclonic Epilepsy.,""/pubmed/29539279"",""Bailey JN, de Nijs L, Bai D, Suzuki T, Miyamoto H, Tanaka M, Patterson C, Lin YC, Medina MT, Alonso ME, Serratosa JM, Durón RM, Nguyen VH, Wight JE, Martínez-Juárez IE, Ochoa A, Jara-Prado A, Guilhoto L, Molina Y, Yacubian EM, López-Ruiz M, Inoue Y, et al."",""N Engl J Med. 2018 Mar 15";"378(11):1018-1028. doi: 10.1056/NEJMoa1700175."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539279"",""pubmed"",""29539279"",""create date:2018/03/15 | first author:Bailey JN"",";;
"A New Frontier in Curing Corneal Blindness.,""/pubmed/29539278"",""Dana R."",""N Engl J Med. 2018 Mar 15";"378(11):1057-1058. doi: 10.1056/NEJMe1800726. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539278"",""pubmed"",""29539278"",""create date:2018/03/15 | first author:Dana R"",";;
"CAR T-Cell Therapy in Large B-Cell Lymphoma.,""/pubmed/29539277"",""Neelapu SS, Locke FL, Go WY."",""N Engl J Med. 2018 Mar 15";"378(11):1065. doi: 10.1056/NEJMc1800913. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539277"",""pubmed"",""29539277"",""create date:2018/03/15 | first author:Neelapu SS"",";;
"Lithium-Induced Nephropathy.,""/pubmed/29539276"",""Pawar AS, Kattah AG."",""N Engl J Med. 2018 Mar 15";"378(11):1042. doi: 10.1056/NEJMicm1709438. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539276"",""pubmed"",""29539276"",""create date:2018/03/15 | first author:Pawar AS"",";;
"Case 8-2018: A 55-Year-Old Woman with Shock and Labile Blood Pressure.,""/pubmed/29539275"",""Loscalzo J, Roy N, Shah RV, Tsai JN, Cahalane AM, Steiner J, Stone JR."",""N Engl J Med. 2018 Mar 15";"378(11):1043-1053. doi: 10.1056/NEJMcpc1712225. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539275"",""pubmed"",""29539275"",""create date:2018/03/15 | first author:Loscalzo J"",";;
"Antifungal Combinations for Treatment of Cryptococcal Meningitis in Africa.,""/pubmed/29539274"",""Molloy SF, Kanyama C, Heyderman RS, Loyse A, Kouanfack C, Chanda D, Mfinanga S, Temfack E, Lakhi S, Lesikari S, Chan AK, Stone N, Kalata N, Karunaharan N, Gaskell K, Peirse M, Ellis J, Chawinga C, Lontsi S, Ndong JG, Bright P, Lupiya D, et al."",""N Engl J Med. 2018 Mar 15";"378(11):1004-1017. doi: 10.1056/NEJMoa1710922."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29539274"",""pubmed"",""29539274"",""create date:2018/03/15 | first author:Molloy SF"",";;
"Divisions, New and Old - Conscience and Religious Freedom at HHS.,""/pubmed/29537933"",""Harris LH."",""N Engl J Med. 2018 Apr 12";"378(15):1369-1371. doi: 10.1056/NEJMp1801154. Epub 2018 Mar 14. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29537933"",""pubmed"",""29537933"",""create date:2018/03/15 | first author:Harris LH"",";;
"Cardiovascular Safety of Febuxostat or Allopurinol in Patients with Gout.,""/pubmed/29527974"",""White WB, Saag KG, Becker MA, Borer JS, Gorelick PB, Whelton A, Hunt B, Castillo M, Gunawardhana L";" CARES Investigators.."",""N Engl J Med. 2018 Mar 29";"378(13):1200-1210. doi: 10.1056/NEJMoa1710895. Epub 2018 Mar 12."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29527974"",""pubmed"",""29527974"",""create date:2018/03/13 | first author:White WB"",";
"A Cluster-Randomized Trial of Blood-Pressure Reduction in Black Barbershops.,""/pubmed/29527973"",""Victor RG, Lynch K, Li N, Blyler C, Muhammad E, Handler J, Brettler J, Rashid M, Hsu B, Foxx-Drew D, Moy N, Reid AE, Elashoff RM."",""N Engl J Med. 2018 Apr 5";"378(14):1291-1301. doi: 10.1056/NEJMoa1717250. Epub 2018 Mar 12."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29527973 | PMCID:PMC6018053"",""pubmed"",""29527973"",""create date:2018/03/13 | first author:Victor RG"",";;
"Two-Year Outcomes with a Magnetically Levitated Cardiac Pump in Heart Failure.,""/pubmed/29526139"",""Mehra MR, Goldstein DJ, Uriel N, Cleveland JC Jr, Yuzefpolskaya M, Salerno C, Walsh MN, Milano CA, Patel CB, Ewald GA, Itoh A, Dean D, Krishnamoorthy A, Cotts WG, Tatooles AJ, Jorde UP, Bruckner BA, Estep JD, Jeevanandam V, Sayer G, Horstmanshof D, Long JW, et al."",""N Engl J Med. 2018 Apr 12";"378(15):1386-1395. doi: 10.1056/NEJMoa1800866. Epub 2018 Mar 11."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29526139"",""pubmed"",""29526139"",""create date:2018/03/13 | first author:Mehra MR"",";;
"Management of Acute Hip Fracture.,""/pubmed/29517218"",""Anagnostis P, Paschou SA, Goulis DG."",""N Engl J Med. 2018 Mar 8";"378(10):971-2. doi: 10.1056/NEJMc1800044. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517218"",""pubmed"",""29517218"",""create date:2018/03/09 | first author:Anagnostis P"",";;
"Necrotizing Soft-Tissue Infections.,""/pubmed/29517217"",""Yildiz H, Yombi JC."",""N Engl J Med. 2018 Mar 8";"378(10):970. doi: 10.1056/NEJMc1800049. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517217"",""pubmed"",""29517217"",""create date:2018/03/09 | first author:Yildiz H"",";;
"Hearing Loss in Adults.,""/pubmed/29517216"",""Fink DJ."",""N Engl J Med. 2018 Mar 8";"378(10):969-70. doi: 10.1056/NEJMc1800570. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517216"",""pubmed"",""29517216"",""create date:2018/03/09 | first author:Fink DJ"",";;
"Hearing Loss in Adults.,""/pubmed/29517215"",""Shin SW."",""N Engl J Med. 2018 Mar 8";"378(10):969. doi: 10.1056/NEJMc1800570. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517215"",""pubmed"",""29517215"",""create date:2018/03/09 | first author:Shin SW"",";;
"Hearing Loss in Adults.,""/pubmed/29517214"",""Windpessl M, Müller P."",""N Engl J Med. 2018 Mar 8";"378(10):968-9. doi: 10.1056/NEJMc1800570. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517214"",""pubmed"",""29517214"",""create date:2018/03/09 | first author:Windpessl M"",";;
"Effects of Sotagliflozin Added to Insulin in Type 1 Diabetes.,""/pubmed/29517213"",""Khoo TK, Olson KM."",""N Engl J Med. 2018 Mar 8";"378(10):967. doi: 10.1056/NEJMc1800394. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517213"",""pubmed"",""29517213"",""create date:2018/03/09 | first author:Khoo TK"",";;
"Effects of Sotagliflozin Added to Insulin in Type 1 Diabetes.,""/pubmed/29517212"",""Doumas M, Imprialos KP, Stavropoulos K."",""N Engl J Med. 2018 Mar 8";"378(10):967. doi: 10.1056/NEJMc1800394. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517212"",""pubmed"",""29517212"",""create date:2018/03/09 | first author:Doumas M"",";;
"Effects of Sotagliflozin Added to Insulin in Type 1 Diabetes.,""/pubmed/29517211"",""Conte C, Secchi A, Napoli N."",""N Engl J Med. 2018 Mar 8";"378(10):966. doi: 10.1056/NEJMc1800394. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517211"",""pubmed"",""29517211"",""create date:2018/03/09 | first author:Conte C"",";;
"Effects of Sotagliflozin Added to Insulin in Type 1 Diabetes.,""/pubmed/29517210"",""Gogtay NJ, Bose D, Thatte UM."",""N Engl J Med. 2018 Mar 8";"378(10):966. doi: 10.1056/NEJMc1800394. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517210"",""pubmed"",""29517210"",""create date:2018/03/09 | first author:Gogtay NJ"",";;
"Letermovir Prophylaxis for Cytomegalovirus.,""/pubmed/29517195"",""Gentile G, Micozzi A."",""N Engl J Med. 2018 Mar 8";"378(10):964-5. doi: 10.1056/NEJMc1800572. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517195"",""pubmed"",""29517195"",""create date:2018/03/09 | first author:Gentile G"",";;
"Letermovir Prophylaxis for Cytomegalovirus.,""/pubmed/29517194"",""Oshima K, Mori J, Tanimoto T."",""N Engl J Med. 2018 Mar 8";"378(10):964. doi: 10.1056/NEJMc1800572. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517194"",""pubmed"",""29517194"",""create date:2018/03/09 | first author:Oshima K"",";;
"Letermovir Prophylaxis for Cytomegalovirus.,""/pubmed/29517193"",""L’Huillier AG, Humar A, Kumar D."",""N Engl J Med. 2018 Mar 8";"378(10):963-4. doi: 10.1056/NEJMc1800572. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29517193"",""pubmed"",""29517193"",""create date:2018/03/09 | first author:L’Huillier AG"",";;
"Effects of Sotagliflozin Added to Insulin in Type 1 Diabetes.,""/pubmed/29514037"",""Garg SK, Strumph P."",""N Engl J Med. 2018 Mar 8";"378(10):967-968. doi: 10.1056/NEJMc1800394. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514037"",""pubmed"",""29514037"",""create date:2018/03/08 | first author:Garg SK"",";;
"Hearing Loss in Adults.,""/pubmed/29514036"",""Davis TM, Davis WA, Hunter M."",""N Engl J Med. 2018 Mar 8";"378(10):970. doi: 10.1056/NEJMc1800570. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514036"",""pubmed"",""29514036"",""create date:2018/03/08 | first author:Davis TM"",";;
"A Shift in Thinking to Reduce Mother-to-Infant Transmission of Hepatitis B.,""/pubmed/29514035"",""Dusheiko G."",""N Engl J Med. 2018 Mar 8";"378(10):952-953. doi: 10.1056/NEJMe1801662. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514035"",""pubmed"",""29514035"",""create date:2018/03/08 | first author:Dusheiko G"",";;
"Primary Sjögren's Syndrome.,""/pubmed/29514034"",""Mariette X, Criswell LA."",""N Engl J Med. 2018 Mar 8";"378(10):931-939. doi: 10.1056/NEJMcp1702514. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514034"",""pubmed"",""29514034"",""create date:2018/03/08 | first author:Mariette X"",";;
"Necrotizing Soft-Tissue Infections.,""/pubmed/29514033"",""Stevens DL, Bryant AE."",""N Engl J Med. 2018 Mar 8";"378(10):971. doi: 10.1056/NEJMc1800049. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514033"",""pubmed"",""29514033"",""create date:2018/03/08 | first author:Stevens DL"",";;
"A Gain-of-Function Mutation in EPO in Familial Erythrocytosis.,""/pubmed/29514032"",""Zmajkovic J, Lundberg P, Nienhold R, Torgersen ML, Sundan A, Waage A, Skoda RC."",""N Engl J Med. 2018 Mar 8";"378(10):924-930. doi: 10.1056/NEJMoa1709064."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514032"",""pubmed"",""29514032"",""create date:2018/03/08 | first author:Zmajkovic J"",";;
"Ambient Temperature and Screening for Nasopharyngeal Cancer.,""/pubmed/29514031"",""Chan KCA, Chu SWI, Lo YMD."",""N Engl J Med. 2018 Mar 8";"378(10):962-963. doi: 10.1056/NEJMc1800433. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514031"",""pubmed"",""29514031"",""create date:2018/03/08 | first author:Chan KCA"",";;
"Tenofovir versus Placebo to Prevent Perinatal Transmission of Hepatitis B.,""/pubmed/29514030"",""Jourdain G, Ngo-Giang-Huong N, Harrison L, Decker L, Khamduang W, Tierney C, Salvadori N, Cressey TR, Sirirungsi W, Achalapong J, Yuthavisuthi P, Kanjanavikai P, Na Ayudhaya OP, Siriwachirachai T, Prommas S, Sabsanong P, Limtrakul A, Varadisai S, Putiyanun C, Suriyachai P, Liampongsabuddhi P, Sangsawang S, et al."",""N Engl J Med. 2018 Mar 8";"378(10):911-923. doi: 10.1056/NEJMoa1708131."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514030 | PMCID:PMC5895092"",""pubmed"",""29514030"",""create date:2018/03/08 | first author:Jourdain G"",";;
"Tumors and Transformations.,""/pubmed/29514029"",""Winner S."",""N Engl J Med. 2018 Mar 8";"378(10):887-889. doi: 10.1056/NEJMp1716548. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514029"",""pubmed"",""29514029"",""create date:2018/03/08 | first author:Winner S"",";;
"Xanthogranulomatous Pyelonephritis.,""/pubmed/29514028"",""Marinacci LX, Rosales I."",""N Engl J Med. 2018 Mar 8";"378(10):940. doi: 10.1056/NEJMicm1710400. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514028"",""pubmed"",""29514028"",""create date:2018/03/08 | first author:Marinacci LX"",";;
"Acute Angle-Closure Glaucoma.,""/pubmed/29514027"",""Pohl H, Tarnutzer AA."",""N Engl J Med. 2018 Mar 8";"378(10):e14. doi: 10.1056/NEJMicm1712742. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514027"",""pubmed"",""29514027"",""create date:2018/03/08 | first author:Pohl H"",";;
"Physician-Assisted Death for Psychiatric Patients - Misguided Public Policy.,""/pubmed/29514026"",""Miller FG, Appelbaum PS."",""N Engl J Med. 2018 Mar 8";"378(10):883-885. doi: 10.1056/NEJMp1709024. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514026"",""pubmed"",""29514026"",""create date:2018/03/08 | first author:Miller FG"",";;
"Letermovir Prophylaxis for Cytomegalovirus.,""/pubmed/29514025"",""Marty FM, Maertens J, Badshah C."",""N Engl J Med. 2018 Mar 8";"378(10):965. doi: 10.1056/NEJMc1800572. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514025"",""pubmed"",""29514025"",""create date:2018/03/08 | first author:Marty FM"",";;
"Management of Acute Hip Fracture.,""/pubmed/29514024"",""Amin NH, Hutchinson HL, Sanzone AG."",""N Engl J Med. 2018 Mar 8";"378(10):972. doi: 10.1056/NEJMc1800044. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514024"",""pubmed"",""29514024"",""create date:2018/03/08 | first author:Amin NH"",";;
"Balancing Safety and Innovation for Cell-Based Regenerative Medicine.,""/pubmed/29514023"",""Marks P, Gottlieb S."",""N Engl J Med. 2018 Mar 8";"378(10):954-959. doi: 10.1056/NEJMsr1715626. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514023"",""pubmed"",""29514023"",""create date:2018/03/08 | first author:Marks P"",";;
"Case 7-2018: A 25-Year-Old Man with New-Onset Seizures.,""/pubmed/29514022"",""Camargo EC, Huang SY, Karaa A, Rosenbaum MW."",""N Engl J Med. 2018 Mar 8";"378(10):941-948. doi: 10.1056/NEJMcpc1712226. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514022"",""pubmed"",""29514022"",""create date:2018/03/08 | first author:Camargo EC"",";;
"Analysis of Plasma Epstein-Barr Virus DNA to Screen for Nasopharyngeal Cancer.,""/pubmed/29514021"",""[No authors listed]"",""N Engl J Med. 2018 Mar 8";"378(10):973. doi: 10.1056/NEJMx180004. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514021"",""pubmed"",""29514021"",""create date:2018/03/08"",";;
"Self-Management of an Inferior ST-Segment Elevation Myocardial Infarction.,""/pubmed/29514020"",""Lee F, Maggiore P, Chung K."",""N Engl J Med. 2018 Mar 8";"378(10):960-962. doi: 10.1056/NEJMc1716701. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514020"",""pubmed"",""29514020"",""create date:2018/03/08 | first author:Lee F"",";;
"Physician-Assisted Suicide and Psychiatric Illness.,""/pubmed/29514019"",""Vandenberghe J."",""N Engl J Med. 2018 Mar 8";"378(10):885-887. doi: 10.1056/NEJMp1714496. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29514019"",""pubmed"",""29514019"",""create date:2018/03/08 | first author:Vandenberghe J"",";;
"Monoclonal Antibodies for Emerging Infectious Diseases - Borrowing from History.,""/pubmed/29513615"",""Marston HD, Paules CI, Fauci AS."",""N Engl J Med. 2018 Apr 19";"378(16):1469-1472. doi: 10.1056/NEJMp1802256. Epub 2018 Mar 7. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29513615"",""pubmed"",""29513615"",""create date:2018/03/08 | first author:Marston HD"",";;
"Case 37-2017: A Man with Unintentional Opioid Overdose.,""/pubmed/29513428"",""White L, Vlok R, Melhuish T."",""N Engl J Med. 2018 Mar 1";"378(9):873-4. doi: 10.1056/NEJMc1800046. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29513428"",""pubmed"",""29513428"",""create date:2018/03/08 | first author:White L"",";;
"Case 37-2017: A Man with Unintentional Opioid Overdose.,""/pubmed/29513427"",""Scolnick B, Ploude L."",""N Engl J Med. 2018 Mar 1";"378(9):873. doi: 10.1056/NEJMc1800046. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29513427"",""pubmed"",""29513427"",""create date:2018/03/08 | first author:Scolnick B"",";;
"More on an Unconscious Patient with a DNR Tattoo.,""/pubmed/29504727"",""Iserson KV."",""N Engl J Med. 2018 Mar 1";"378(9):876. doi: 10.1056/NEJMc1800052. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504727"",""pubmed"",""29504727"",""create date:2018/03/06 | first author:Iserson KV"",";;
"More on an Unconscious Patient with a DNR Tattoo.,""/pubmed/29504726"",""Pistoia F, Sacco S, Carolei A."",""N Engl J Med. 2018 Mar 1";"378(9):876. doi: 10.1056/NEJMc1800052. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504726"",""pubmed"",""29504726"",""create date:2018/03/06 | first author:Pistoia F"",";;
"More on an Unconscious Patient with a DNR Tattoo.,""/pubmed/29504725"",""Blumenthal JB, Beamer BA."",""N Engl J Med. 2018 Mar 1";"378(9):875-6. doi: 10.1056/NEJMc1800052. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504725"",""pubmed"",""29504725"",""create date:2018/03/06 | first author:Blumenthal JB"",";;
"Treating Onchocerciasis in Regions in Which Loa loa Is Endemic.,""/pubmed/29504723"",""Woolnough EL, Chmiel ER, Currie BJ."",""N Engl J Med. 2018 Mar 1";"378(9):871. doi: 10.1056/NEJMc1716788. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504723"",""pubmed"",""29504723"",""create date:2018/03/06 | first author:Woolnough EL"",";;
"Breast-Cancer Recurrence after Stopping Endocrine Therapy.,""/pubmed/29504722"",""Anderson GM."",""N Engl J Med. 2018 Mar 1";"378(9):870. doi: 10.1056/NEJMc1715968. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504722"",""pubmed"",""29504722"",""create date:2018/03/06 | first author:Anderson GM"",";;
"Durvalumab in Stage III Non-Small-Cell Lung Cancer.,""/pubmed/29504721"",""Santoni M, Battelli N, Buti S."",""N Engl J Med. 2018 Mar 1";"378(9):869. doi: 10.1056/NEJMc1716426. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504721"",""pubmed"",""29504721"",""create date:2018/03/06 | first author:Santoni M"",";;
"Durvalumab in Stage III Non-Small-Cell Lung Cancer.,""/pubmed/29504720"",""Copur MD, Gauchan D, Ramaekers R."",""N Engl J Med. 2018 Mar 1";"378(9):868. doi: 10.1056/NEJMc1716426. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504720"",""pubmed"",""29504720"",""create date:2018/03/06 | first author:Copur MD"",";;
"Escalating Inhaled Glucocorticoids to Prevent Asthma Exacerbations.,""/pubmed/29504500"",""Bardin PG."",""N Engl J Med. 2018 Mar 8";"378(10):950-952. doi: 10.1056/NEJMe1800152. Epub 2018 Mar 3. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504500"",""pubmed"",""29504500"",""create date:2018/03/06 | first author:Bardin PG"",";;
"Quadrupling Inhaled Glucocorticoid Dose to Abort Asthma Exacerbations.,""/pubmed/29504499"",""McKeever T, Mortimer K, Wilson A, Walker S, Brightling C, Skeggs A, Pavord I, Price D, Duley L, Thomas M, Bradshaw L, Higgins B, Haydock R, Mitchell E, Devereux G, Harrison T."",""N Engl J Med. 2018 Mar 8";"378(10):902-910. doi: 10.1056/NEJMoa1714257. Epub 2018 Mar 3."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504499"",""pubmed"",""29504499"",""create date:2018/03/06 | first author:McKeever T"",";;
"Quintupling Inhaled Glucocorticoids to Prevent Childhood Asthma Exacerbations.,""/pubmed/29504498"",""Jackson DJ, Bacharier LB, Mauger DT, Boehmer S, Beigelman A, Chmiel JF, Fitzpatrick AM, Gaffin JM, Morgan WJ, Peters SP, Phipatanakul W, Sheehan WJ, Cabana MD, Holguin F, Martinez FD, Pongracic JA, Baxi SN, Benson M, Blake K, Covar R, Gentile DA, Israel E, et al."",""N Engl J Med. 2018 Mar 8";"378(10):891-901. doi: 10.1056/NEJMoa1710988. Epub 2018 Mar 3."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504498 | PMCID:PMC5972517"",""pubmed"",""29504498"",""create date:2018/03/06 | first author:Jackson DJ"",";;
"HIV Drug Resistance.,""/pubmed/29504389"",""Gottlieb GS, Raugi DN, Smith RA";" University of Washington-Dakar HIV-2 Study Group.."",""N Engl J Med. 2018 Mar 1";"378(9):874-5. doi: 10.1056/NEJMc1716089. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504389"",""pubmed"",""29504389"",""create date:2018/03/06 | first author:Gottlieb GS"",";
"HIV Drug Resistance.,""/pubmed/29504388"",""Bertagnolio S, Jordan MR, Doherty M."",""N Engl J Med. 2018 Mar 1";"378(9):874. doi: 10.1056/NEJMc1716089. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504388"",""pubmed"",""29504388"",""create date:2018/03/06 | first author:Bertagnolio S"",";;
"HIV Drug Resistance.,""/pubmed/29504387"",""Inzaule SC, Rinke de Wit TF, Hamers RL."",""N Engl J Med. 2018 Mar 1";"378(9):873-4. doi: 10.1056/NEJMc1716089. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29504387"",""pubmed"",""29504387"",""create date:2018/03/06 | first author:Inzaule SC"",";;
"Interstitial Keratitis in Cogan's Syndrome.,""/pubmed/29490187"",""Rodrigues-Barros S, Parreira S."",""N Engl J Med. 2018 Mar 1";"378(9):852. doi: 10.1056/NEJMicm1709103. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29490187"",""pubmed"",""29490187"",""create date:2018/03/01 | first author:Rodrigues-Barros S"",";;
"HIV Drug Resistance.,""/pubmed/29490186"",""Beyrer C, Pozniak A."",""N Engl J Med. 2018 Mar 1";"378(9):875. doi: 10.1056/NEJMc1716089. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29490186"",""pubmed"",""29490186"",""create date:2018/03/01 | first author:Beyrer C"",";;
"Hydrocortisone plus Fludrocortisone for Adults with Septic Shock.,""/pubmed/29490185"",""Annane D, Renault A, Brun-Buisson C, Megarbane B, Quenot JP, Siami S, Cariou A, Forceville X, Schwebel C, Martin C, Timsit JF, Misset B, Ali Benali M, Colin G, Souweine B, Asehnoune K, Mercier E, Chimot L, Charpentier C, François B, Boulain T, Petitpas F, et al."",""N Engl J Med. 2018 Mar 1";"378(9):809-818. doi: 10.1056/NEJMoa1705716."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29490185"",""pubmed"",""29490185"",""create date:2018/03/01 | first author:Annane D"",";;
"More on an Unconscious Patient with a DNR Tattoo.,""/pubmed/29490184"",""Holt GE, Kett D, Goodman KW."",""N Engl J Med. 2018 Mar 1";"378(9):876-877. doi: 10.1056/NEJMc1800052. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29490184"",""pubmed"",""29490184"",""create date:2018/03/01 | first author:Holt GE"",";;
"A Role for Hydrocortisone Therapy in Septic Shock?,""/pubmed/29490183"",""Suffredini AF."",""N Engl J Med. 2018 Mar 1";"378(9):860-861. doi: 10.1056/NEJMe1801463. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:29490183"",""pubmed"",""29490183"",""create date:2018/03/01 | first author:Suffredini AF"",";;
