Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Ancestors.,""/pubmed/30657840"",""Halberstadt CS."",""JAMA. 2018 Dec 11";"320(22):2382. doi: 10.1001/jama.2018.11167. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657840"",""pubmed"",""30657840"",""create date:2019/01/19 | first author:Halberstadt CS"",";;
"Messengers of Truth and Health-Young Artists of Color Raise Their Voices to Prevent Diabetes.,""/pubmed/29450481"",""Schillinger D, Huey N."",""JAMA. 2018 Mar 20";"319(11):1076-1078. doi: 10.1001/jama.2018.0986. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29450481"",""pubmed"",""29450481"",""create date:2018/02/17 | first author:Schillinger D"",";;
"More Questions Raised by Concussion-like Symptoms Found in US Diplomats Who Served in Havana.,""/pubmed/29450476"",""Rubin R."",""JAMA. 2018 Mar 20";"319(11):1079-1081. doi: 10.1001/jama.2018.1751. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29450476"",""pubmed"",""29450476"",""create date:2018/02/17 | first author:Rubin R"",";;
"Legal Challenges to State Drug Pricing Laws.,""/pubmed/29435585"",""Lee TT, Kesselheim AS, Kapczynski A."",""JAMA. 2018 Mar 6";"319(9):865-866. doi: 10.1001/jama.2017.20952. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29435585"",""pubmed"",""29435585"",""create date:2018/02/13 | first author:Lee TT"",";;
"The Importance of Contact Precautions for Endemic Methicillin-Resistant Staphylococcus aureus and Vancomycin-Resistant Enterococci.,""/pubmed/29435582"",""Rubin MA, Samore MH, Harris AD."",""JAMA. 2018 Mar 6";"319(9):863-864. doi: 10.1001/jama.2017.21122. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29435582"",""pubmed"",""29435582"",""create date:2018/02/13 | first author:Rubin MA"",";;
"International Medical Graduates-A Critical Component of the Global Health Workforce.,""/pubmed/29423516"",""Nwadiuko J, Varadaraj V, Ranjit A."",""JAMA. 2018 Feb 27";"319(8):765-766. doi: 10.1001/jama.2017.17961. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29423516"",""pubmed"",""29423516"",""create date:2018/02/10 | first author:Nwadiuko J"",";;
"Omitted Disclosure of Potential Conflicts of Interest.,""/pubmed/29417144"",""[No authors listed]"",""JAMA. 2018 Feb 27";"319(8):833. doi: 10.1001/jama.2018.0621. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29417144"",""pubmed"",""29417144"",""create date:2018/02/09"",";;
"Virtual and Augmented Reality Put a Twist on Medical Education.,""/pubmed/29417140"",""Kuehn BM."",""JAMA. 2018 Feb 27";"319(8):756-758. doi: 10.1001/jama.2017.20800. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29417140"",""pubmed"",""29417140"",""create date:2018/02/09 | first author:Kuehn BM"",";;
"Guidelines for Inclusion of Patient-Reported Outcomes in Clinical Trial Protocols: The SPIRIT-PRO Extension.,""/pubmed/29411037"",""Calvert M, Kyte D, Mercieca-Bebber R, Slade A, Chan AW, King MT";" the SPIRIT-PRO Group., Hunn A, Bottomley A, Regnault A, Chan AW, Ells C, O'Connor D, Revicki D, Patrick D, Altman D, Basch E, Velikova G, Price G, Draper H, Blazeby J, Scott J, et al."",""JAMA. 2018 Feb 6";"319(5):483-494. doi: 10.1001/jama.2017.21903."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411037"",""pubmed"",""29411037"",""create date:2018/02/08 | first author:Calvert M"",";
"I Am That Parent.,""/pubmed/29411036"",""Rule ARL."",""JAMA. 2018 Feb 6";"319(5):445. doi: 10.1001/jama.2017.21048. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411036"",""pubmed"",""29411036"",""create date:2018/02/08 | first author:Rule ARL"",";;
"Oversedation of a Patient With Obstructive Sleep Apnea Prior to Imaging.,""/pubmed/29411034"",""Blay E Jr, Barnard C, Bilimoria KY."",""JAMA. 2018 Feb 6";"319(5):495-496. doi: 10.1001/jama.2017.22004. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411034"",""pubmed"",""29411034"",""create date:2018/02/08 | first author:Blay E Jr"",";;
"Nursemaid's Elbow (Elbow Subluxation).,""/pubmed/29411033"",""Baiu I, Melendez E."",""JAMA. 2018 Feb 6";"319(5):515. doi: 10.1001/jama.2017.22031. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411033"",""pubmed"",""29411033"",""create date:2018/02/08 | first author:Baiu I"",";;
"Association of Preoperatively Diagnosed Patent Foramen Ovale With Perioperative Ischemic Stroke.,""/pubmed/29411032"",""Ng PY, Ng AK, Subramaniam B, Burns SM, Herisson F, Timm FP, Med C, Rudolph MI, Med C, Scheffenbichler F, Med C, Friedrich S, Med C, Houle TT, Bhatt DL, Eikermann M."",""JAMA. 2018 Feb 6";"319(5):452-462. doi: 10.1001/jama.2017.21899."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411032 | PMCID:PMC5839297"",""pubmed"",""29411032"",""create date:2018/02/08 | first author:Ng PY"",";;
"Prevalence of Fetal Alcohol Spectrum Disorders in 4 US Communities.,""/pubmed/29411031"",""May PA, Chambers CD, Kalberg WO, Zellner J, Feldman H, Buckley D, Kopald D, Hasken JM, Xu R, Honerkamp-Smith G, Taras H, Manning MA, Robinson LK, Adam MP, Abdul-Rahman O, Vaux K, Jewett T, Elliott AJ, Kable JA, Akshoomoff N, Falk D, Arroyo JA, et al."",""JAMA. 2018 Feb 6";"319(5):474-482. doi: 10.1001/jama.2017.21896."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411031 | PMCID:PMC5839298"",""pubmed"",""29411031"",""create date:2018/02/08 | first author:May PA"",";;
"Complications With Insulin Pump Therapy vs Insulin Injection Therapy-Reply.,""/pubmed/29411030"",""Karges B, Binder E, Rosenbauer J."",""JAMA. 2018 Feb 6";"319(5):503-504. doi: 10.1001/jama.2017.20357. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411030"",""pubmed"",""29411030"",""create date:2018/02/08 | first author:Karges B"",";;
"Technology as a Tool for Mental Disorders-Reply.,""/pubmed/29411029"",""Insel TR."",""JAMA. 2018 Feb 6";"319(5):504. doi: 10.1001/jama.2017.20353. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411029"",""pubmed"",""29411029"",""create date:2018/02/08 | first author:Insel TR"",";;
"Prophylactic Low-Dose Oxygen for Patients With Acute Stroke-Reply.,""/pubmed/29411028"",""Roffe C, Sim J, Gray R."",""JAMA. 2018 Feb 6";"319(5):502. doi: 10.1001/jama.2017.20349. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411028"",""pubmed"",""29411028"",""create date:2018/02/08 | first author:Roffe C"",";;
"Complications With Insulin Pump Therapy vs Insulin Injection Therapy.,""/pubmed/29411027"",""Shah VN."",""JAMA. 2018 Feb 6";"319(5):502-503. doi: 10.1001/jama.2017.20345. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411027"",""pubmed"",""29411027"",""create date:2018/02/08 | first author:Shah VN"",";;
"Prophylactic Low-Dose Oxygen for Patients With Acute Stroke.,""/pubmed/29411026"",""Saber H, Moein HR, Rajamani K."",""JAMA. 2018 Feb 6";"319(5):501-502. doi: 10.1001/jama.2017.20342. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411026"",""pubmed"",""29411026"",""create date:2018/02/08 | first author:Saber H"",";;
"Technology as a Tool for Mental Disorders.,""/pubmed/29411025"",""Philip P, De-Sevin E, Micoulaud-Franchi JA."",""JAMA. 2018 Feb 6";"319(5):504. doi: 10.1001/jama.2017.20338. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411025"",""pubmed"",""29411025"",""create date:2018/02/08 | first author:Philip P"",";;
"Progressive Massive Fibrosis in Coal Miners From 3 Clinics in Virginia.,""/pubmed/29411024"",""Blackley DJ, Reynolds LE, Short C, Carson R, Storey E, Halldin CN, Laney AS."",""JAMA. 2018 Feb 6";"319(5):500-501. doi: 10.1001/jama.2017.18444. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411024 | PMCID:PMC5839295"",""pubmed"",""29411024"",""create date:2018/02/08 | first author:Blackley DJ"",";;
"Current Comment.,""/pubmed/29411023"",""[No authors listed]"",""JAMA. 2018 Feb 6";"319(5):508. doi: 10.1001/jama.2017.12226. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411023"",""pubmed"",""29411023"",""create date:2018/02/08"",";;
"To Fix the Hospital Readmissions Program, Prioritize What Matters.,""/pubmed/29411022"",""Jha AK."",""JAMA. 2018 Feb 6";"319(5):431-433. doi: 10.1001/jama.2017.21623. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411022"",""pubmed"",""29411022"",""create date:2018/02/08 | first author:Jha AK"",";;
"New Human Insulin Analog Approved.,""/pubmed/29411020"",""Voelker R."",""JAMA. 2018 Feb 6";"319(5):434. doi: 10.1001/jama.2017.21720. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411020"",""pubmed"",""29411020"",""create date:2018/02/08 | first author:Voelker R"",";;
"Gene Therapy for Vision Loss.,""/pubmed/29411019"",""Voelker R."",""JAMA. 2018 Feb 6";"319(5):434. doi: 10.1001/jama.2017.21710. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411019"",""pubmed"",""29411019"",""create date:2018/02/08 | first author:Voelker R"",";;
"Therapy Approved for Rare Inflammatory Disease.,""/pubmed/29411018"",""Voelker R."",""JAMA. 2018 Feb 6";"319(5):434. doi: 10.1001/jama.2017.21626. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411018"",""pubmed"",""29411018"",""create date:2018/02/08 | first author:Voelker R"",";;
"Is Patent Foramen Ovale a Risk Factor for Perioperative Stroke?,""/pubmed/29411017"",""Kasner SE, Messe SR."",""JAMA. 2018 Feb 6";"319(5):446-447. doi: 10.1001/jama.2017.21902. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411017"",""pubmed"",""29411017"",""create date:2018/02/08 | first author:Kasner SE"",";;
"Implications of Higher Than Expected Prevalence of Fetal Alcohol Spectrum Disorders.,""/pubmed/29411016"",""Lange S, Rehm J, Popova S."",""JAMA. 2018 Feb 6";"319(5):448-449. doi: 10.1001/jama.2017.21895. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411016"",""pubmed"",""29411016"",""create date:2018/02/08 | first author:Lange S"",";;
"Guidelines for Patient-Reported Outcomes in Clinical Trial Protocols.,""/pubmed/29411015"",""Mehran R, Baber U, Dangas G."",""JAMA. 2018 Feb 6";"319(5):450-451. doi: 10.1001/jama.2017.21541. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411015"",""pubmed"",""29411015"",""create date:2018/02/08 | first author:Mehran R"",";;
"Evaluating Thrombocytopenia During Heparin Therapy.,""/pubmed/29411014"",""Shen YM, Wolfe H, Barman S."",""JAMA. 2018 Feb 6";"319(5):497-498. doi: 10.1001/jama.2017.21898. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411014"",""pubmed"",""29411014"",""create date:2018/02/08 | first author:Shen YM"",";;
"Gut Microbes May Shape Response to Cancer Immunotherapy.,""/pubmed/29411013"",""Hampton T."",""JAMA. 2018 Feb 6";"319(5):430-431. doi: 10.1001/jama.2017.12857. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29411013"",""pubmed"",""29411013"",""create date:2018/02/08 | first author:Hampton T"",";;
"Vitamin and Mineral Supplements: What Clinicians Need to Know.,""/pubmed/29404568"",""Manson JE, Bassuk SS."",""JAMA. 2018 Mar 6";"319(9):859-860. doi: 10.1001/jama.2017.21012. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29404568"",""pubmed"",""29404568"",""create date:2018/02/07 | first author:Manson JE"",";;
"Association Between Playing American Football in the National Football League and Long-term Mortality.,""/pubmed/29392304"",""Venkataramani AS, Gandhavadi M, Jena AB."",""JAMA. 2018 Feb 27";"319(8):800-806. doi: 10.1001/jama.2018.0140."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29392304 | PMCID:PMC5838566"",""pubmed"",""29392304"",""create date:2018/02/03 | first author:Venkataramani AS"",";;
"Long-term Mortality in NFL Professional Football Players: No Significant Increase, but Questions Remain.,""/pubmed/29392297"",""DeKosky ST, Jaffee M, Bauer R."",""JAMA. 2018 Feb 27";"319(8):773-775. doi: 10.1001/jama.2017.20885. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29392297 | PMCID:PMC6218167"",""pubmed"",""29392297"",""create date:2018/02/03 | first author:DeKosky ST"",";;
"Sport-Related Concussion.,""/pubmed/29392292"",""Muth CC."",""JAMA. 2018 Feb 27";"319(8):840. doi: 10.1001/jama.2018.0436. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29392292"",""pubmed"",""29392292"",""create date:2018/02/03 | first author:Muth CC"",";;
"NICE, the NHS, and Cancer Drugs.,""/pubmed/29387883"",""Dillon A, Landells LJ."",""JAMA. 2018 Feb 27";"319(8):767-768. doi: 10.1001/jama.2017.20552. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29387883"",""pubmed"",""29387883"",""create date:2018/02/02 | first author:Dillon A"",";;
"Are Medicaid Work Requirements Legal?,""/pubmed/29383376"",""Bagley N."",""JAMA. 2018 Feb 27";"319(8):763-764. doi: 10.1001/jama.2018.0958. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29383376"",""pubmed"",""29383376"",""create date:2018/02/01 | first author:Bagley N"",";;
"ASO Therapy: Hope for Genetic Neurological Diseases.,""/pubmed/29383373"",""Muth CC."",""JAMA. 2018 Feb 20";"319(7):644-646. doi: 10.1001/jama.2017.18665. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29383373"",""pubmed"",""29383373"",""create date:2018/02/01 | first author:Muth CC"",";;
"Does Medicine Overemphasize IQ?,""/pubmed/29379958"",""Emanuel EJ, Gudbranson E."",""JAMA. 2018 Feb 20";"319(7):651-652. doi: 10.1001/jama.2017.20141. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29379958"",""pubmed"",""29379958"",""create date:2018/01/31 | first author:Emanuel EJ"",";;
"Principles for a Framework for Alternative Payment Models.,""/pubmed/29379954"",""Nussbaum S, McClellan M, Metlay G."",""JAMA. 2018 Feb 20";"319(7):653-654. doi: 10.1001/jama.2017.20226. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29379954"",""pubmed"",""29379954"",""create date:2018/01/31 | first author:Nussbaum S"",";;
"Association of Intracerebral Hemorrhage Among Patients Taking Non-Vitamin K Antagonist vs Vitamin K Antagonist Oral Anticoagulants With In-Hospital Mortality.,""/pubmed/29372247"",""Inohara T, Xian Y, Liang L, Matsouaka RA, Saver JL, Smith EE, Schwamm LH, Reeves MJ, Hernandez AF, Bhatt DL, Peterson ED, Fonarow GC."",""JAMA. 2018 Feb 6";"319(5):463-473. doi: 10.1001/jama.2017.21917."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29372247 | PMCID:PMC5839299"",""pubmed"",""29372247"",""create date:2018/01/27 | first author:Inohara T"",";;
"Birth Defects Potentially Related to Zika Virus Infection During Pregnancy in the United States.,""/pubmed/29372233"",""Fitzgerald B, Boyle C, Honein MA."",""JAMA. 2018 Mar 27";"319(12):1195-1196. doi: 10.1001/jama.2018.0126. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29372233 | PMCID:PMC5988243"",""pubmed"",""29372233"",""create date:2018/01/27 | first author:Fitzgerald B"",";;
"Simple Models and Ice Bucket Challenge Fuel Progress in ALS Treatment.,""/pubmed/29365034"",""Kuehn BM."",""JAMA. 2018 Feb 13";"319(6):535-537. doi: 10.1001/jama.2017.20704. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29365034"",""pubmed"",""29365034"",""create date:2018/01/25 | first author:Kuehn BM"",";;
"A New Year's Wish on Opioids.,""/pubmed/29365013"",""Sharfstein JM."",""JAMA. 2018 Feb 13";"319(6):537-538. doi: 10.1001/jama.2018.0058. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29365013"",""pubmed"",""29365013"",""create date:2018/01/25 | first author:Sharfstein JM"",";;
"African Countries Move Closer to Eradicating Guinea Worm Disease.,""/pubmed/29362803"",""Rubin R."",""JAMA. 2018 Jan 23";"319(4):334. doi: 10.1001/jama.2017.21121. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362803"",""pubmed"",""29362803"",""create date:2018/01/25 | first author:Rubin R"",";;
"Possible Racial Disparities in NICU Breast Milk Use.,""/pubmed/29362802"",""Rubin R."",""JAMA. 2018 Jan 23";"319(4):334. doi: 10.1001/jama.2017.20797. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362802"",""pubmed"",""29362802"",""create date:2018/01/25 | first author:Rubin R"",";;
"Preferred Reporting Items for a Systematic Review and Meta-analysis of Diagnostic Test Accuracy Studies: The PRISMA-DTA Statement.,""/pubmed/29362800"",""McInnes MDF, Moher D, Thombs BD, McGrath TA, Bossuyt PM";" the PRISMA-DTA Group., Clifford T, Cohen JF, Deeks JJ, Gatsonis C, Hooft L, Hunt HA, Hyde CJ, Korevaar DA, Leeflang MMG, Macaskill P, Reitsma JB, Rodin R, Rutjes AWS, Salameh JP, Stevens A, Takwoingi Y, et al."",""JAMA. 2018 Jan 23";"319(4):388-396. doi: 10.1001/jama.2017.19163."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362800"",""pubmed"",""29362800"",""create date:2018/01/25 | first author:McInnes MDF"",";
"The Things We Say.,""/pubmed/29362799"",""Patel JJ."",""JAMA. 2018 Jan 23";"319(4):341-342. doi: 10.1001/jama.2017.20545. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362799"",""pubmed"",""29362799"",""create date:2018/01/25 | first author:Patel JJ"",";;
"Patellofemoral Pain.,""/pubmed/29362797"",""Jin J, Jones E."",""JAMA. 2018 Jan 23";"319(4):418. doi: 10.1001/jama.2017.19690. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362797"",""pubmed"",""29362797"",""create date:2018/01/25 | first author:Jin J"",";;
"Association of Hysteroscopic vs Laparoscopic Sterilization With Procedural, Gynecological, and Medical Outcomes.,""/pubmed/29362796"",""Bouillon K, Bertrand M, Bader G, Lucot JP, Dray-Spira R, Zureik M."",""JAMA. 2018 Jan 23";"319(4):375-387. doi: 10.1001/jama.2017.21269."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362796 | PMCID:PMC5833563"",""pubmed"",""29362796"",""create date:2018/01/25 | first author:Bouillon K"",";;
"Effect of Prolonged Exposure Therapy Delivered Over 2 Weeks vs 8 Weeks vs Present-Centered Therapy on PTSD Symptom Severity in Military Personnel: A Randomized Clinical Trial.,""/pubmed/29362795"",""Foa EB, McLean CP, Zang Y, Rosenfield D, Yadin E, Yarvis JS, Mintz J, Young-McCaughan S, Borah EV, Dondanville KA, Fina BA, Hall-Clark BN, Lichner T, Litz BT, Roache J, Wright EC, Peterson AL";" STRONG STAR Consortium.."",""JAMA. 2018 Jan 23";319(4):354-364. doi: 10.1001/jama.2017.21242. Erratum in: JAMA. 2018 Aug 21;"320(7):724. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362795 | PMCID:PMC5833566"",""pubmed"",""29362795"",""create date:2018/01/25 | first author:Foa EB"","
"Association Between Left Atrial Appendage Occlusion and Readmission for Thromboembolism Among Patients With Atrial Fibrillation Undergoing Concomitant Cardiac Surgery.,""/pubmed/29362794"",""Friedman DJ, Piccini JP, Wang T, Zheng J, Malaisrie SC, Holmes DR, Suri RM, Mack MJ, Badhwar V, Jacobs JP, Gaca JG, Chow SC, Peterson ED, Brennan JM."",""JAMA. 2018 Jan 23";"319(4):365-374. doi: 10.1001/jama.2017.20125."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362794 | PMCID:PMC5833567"",""pubmed"",""29362794"",""create date:2018/01/25 | first author:Friedman DJ"",";;
"Opioid Agonist and Antagonist Therapies Prevent Opioid Relapse.,""/pubmed/29362793"",""Slomski A."",""JAMA. 2018 Jan 23";"319(4):333. doi: 10.1001/jama.2017.21382. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362793"",""pubmed"",""29362793"",""create date:2018/01/25 | first author:Slomski A"",";;
"Bariatric Surgery Controls Blood Pressure.,""/pubmed/29362792"",""Slomski A."",""JAMA. 2018 Jan 23";"319(4):333. doi: 10.1001/jama.2017.21380. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362792"",""pubmed"",""29362792"",""create date:2018/01/25 | first author:Slomski A"",";;
"Social Media Intervention Improves Vaccine Acceptance.,""/pubmed/29362791"",""Slomski A."",""JAMA. 2018 Jan 23";"319(4):333. doi: 10.1001/jama.2017.21378. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362791"",""pubmed"",""29362791"",""create date:2018/01/25 | first author:Slomski A"",";;
"New Combination Therapy for Cystic Fibrosis.,""/pubmed/29362790"",""Slomski A."",""JAMA. 2018 Jan 23";"319(4):333. doi: 10.1001/jama.2017.20792. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362790"",""pubmed"",""29362790"",""create date:2018/01/25 | first author:Slomski A"",";;
"Shantanu Nundy, MD: The Human Diagnosis Project.,""/pubmed/29362789"",""Abbasi J."",""JAMA. 2018 Jan 23";"319(4):329-331. doi: 10.1001/jama.2017.13897. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362789"",""pubmed"",""29362789"",""create date:2018/01/25 | first author:Abbasi J"",";;
"Altmetric Scores, Citations, and Publication of Studies Posted as Preprints.,""/pubmed/29362788"",""Serghiou S, Ioannidis JPA."",""JAMA. 2018 Jan 23";"319(4):402-404. doi: 10.1001/jama.2017.21168. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362788 | PMCID:PMC5833561"",""pubmed"",""29362788"",""create date:2018/01/25 | first author:Serghiou S"",";;
"Prevalence of Disclosed Conflicts of Interest in Biomedical Research and Associations With Journal Impact Factors and Altmetric Scores.,""/pubmed/29362787"",""Grundy Q, Dunn AG, Bourgeois FT, Coiera E, Bero L."",""JAMA. 2018 Jan 23";"319(4):408-409. doi: 10.1001/jama.2017.20738. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362787 | PMCID:PMC5833569"",""pubmed"",""29362787"",""create date:2018/01/25 | first author:Grundy Q"",";;
"Characteristics of Interim Publications of Randomized Clinical Trials and Comparison With Final Publications.,""/pubmed/29362786"",""Woloshin S, Schwartz LM, Bagley PJ, Blunt HB, White B."",""JAMA. 2018 Jan 23";"319(4):404-406. doi: 10.1001/jama.2017.20653. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362786 | PMCID:PMC5833570"",""pubmed"",""29362786"",""create date:2018/01/25 | first author:Woloshin S"",";;
"Editorial Evaluation, Peer Review, and Publication of Research Reports With and Without Supplementary Online Content.,""/pubmed/29362785"",""Flanagin A, Christiansen SL, Borden C, Kyriacou DN, Sietmann C, Williams E, Bryant L."",""JAMA. 2018 Jan 23";"319(4):410. doi: 10.1001/jama.2017.20650. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362785 | PMCID:PMC5833562"",""pubmed"",""29362785"",""create date:2018/01/25 | first author:Flanagin A"",";;
"Trialists' Intent to Share Individual Participant Data as Disclosed at ClinicalTrials.gov.,""/pubmed/29362784"",""Bergeris A, Tse T, Zarin DA."",""JAMA. 2018 Jan 23";"319(4):406-408. doi: 10.1001/jama.2017.20581. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362784 | PMCID:PMC5806046"",""pubmed"",""29362784"",""create date:2018/01/25 | first author:Bergeris A"",";;
"Predetermination of Sex.,""/pubmed/29362783"",""[No authors listed]"",""JAMA. 2018 Jan 23";"319(4):413. doi: 10.1001/jama.2017.12215. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362783"",""pubmed"",""29362783"",""create date:2018/01/25"",";;
"Study Recruitment to Accelerate Precision Medicine.,""/pubmed/29362781"",""Kuehn BM."",""JAMA. 2018 Jan 23";"319(4):332. doi: 10.1001/jama.2017.21305. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362781"",""pubmed"",""29362781"",""create date:2018/01/25 | first author:Kuehn BM"",";;
"CMS Cancels Mandatory Hip and Cardiac Payment Bundles.,""/pubmed/29362780"",""Kuehn BM."",""JAMA. 2018 Jan 23";"319(4):332. doi: 10.1001/jama.2017.21303. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362780"",""pubmed"",""29362780"",""create date:2018/01/25 | first author:Kuehn BM"",";;
"Tick Bite Linked to Red Meat Allergy.,""/pubmed/29362779"",""Kuehn BM."",""JAMA. 2018 Jan 23";"319(4):332. doi: 10.1001/jama.2017.20802. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362779"",""pubmed"",""29362779"",""create date:2018/01/25 | first author:Kuehn BM"",";;
"Oral Medications to Treat Toenail Fungal Infection.,""/pubmed/29362778"",""Kreijkamp-Kaspers S, Hawke KL, van Driel ML."",""JAMA. 2018 Jan 23";"319(4):397-398. doi: 10.1001/jama.2017.20160."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362778"",""pubmed"",""29362778"",""create date:2018/01/25 | first author:Kreijkamp-Kaspers S"",";;
"A Window Into the Evolution of Trauma-Focused Psychotherapies for Posttraumatic Stress Disorder.,""/pubmed/29362777"",""Hoge CW, Chard KM."",""JAMA. 2018 Jan 23";"319(4):343-345. doi: 10.1001/jama.2017.21880. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362777"",""pubmed"",""29362777"",""create date:2018/01/25 | first author:Hoge CW"",";;
"Evaluating the Long-term Safety of Hysteroscopic Sterilization.,""/pubmed/29362776"",""Espey E, Hofler LG."",""JAMA. 2018 Jan 23";"319(4). doi: 10.1001/jama.2017.21268. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362776"",""pubmed"",""29362776"",""create date:2018/01/25 | first author:Espey E"",";;
"Three Decades of Peer Review Congresses.,""/pubmed/29362775"",""Rennie D, Flanagin A."",""JAMA. 2018 Jan 23";"319(4):350-353. doi: 10.1001/jama.2017.20606. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362775"",""pubmed"",""29362775"",""create date:2018/01/25 | first author:Rennie D"",";;
"Left Atrial Appendage Occlusion During Cardiac Operations for Prevention of Thromboembolic Events.,""/pubmed/29362774"",""Ferraris VA."",""JAMA. 2018 Jan 23";"319(4):345-347. doi: 10.1001/jama.2017.20361. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:29362774"",""pubmed"",""29362774"",""create date:2018/01/25 | first author:Ferraris VA"",";;
